,MetroAreaID,MedianSalesPrice,Area,lat_long,centroid,distance
0,1007,389700.0,Atlanta,"(33.891702, -84.140783)","(33.748783, -84.388168)",27.85372953251022 km
1,1006,355390.0,Richmond,"(37.6162, -77.521)","(37.54129, -77.434769)",11.275803895831249 km
2,1013,240900.0,Aiken/Augusta,"(33.593076, -81.824541)","(33.5076, -81.8604)",10.04839088810054 km
3,1013,212400.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
4,1013,247900.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
5,1008,289900.0,Charleston,"(32.8984, -79.9979)","(32.776566, -79.930923)",14.895773216251829 km
6,1000,884990.0,Northern Virginia,"(38.7972531, -77.6523484)","(38.8051, -77.047)",52.59271546370725 km
7,1013,246900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
8,1010,241900.0,Columbia,"(33.917912, -81.328175)","(34.0007, -81.0348)",28.62901156133804 km
9,1000,640990.0,Northern Virginia,"(38.4305, -77.4289)","(38.8051, -77.047)",53.2485419990901 km
10,1008,990900.0,Charleston,"(32.900786, -79.74952)","(32.776566, -79.930923)",21.86828205541061 km
11,1013,252900.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
12,1000,532090.0,Northern Virginia,"(39.054844, -77.462364)","(38.8051, -77.047)",45.45209618827713 km
13,1003,418600.0,Charlottesville,"(0.0, 0.0)","(38.033554, -78.50798)",9005.927584465539 km
14,1010,343900.0,Columbia,"(34.187516, -81.014363)","(34.0007, -81.0348)",20.808040527945 km
15,1010,349400.0,Columbia,"(33.913455, -81.290165)","(34.0007, -81.0348)",25.510494763814688 km
16,1007,350000.0,Atlanta,"(34.1, -84.582)","(33.748783, -84.388168)",42.88246359043638 km
17,1001,668490.0,Maryland,"(38.8208, -76.7835)","(52.2296756, -21.0122287)",4479.3191825925005 km
18,1008,702400.0,Charleston,"(32.342205, -80.916079)","(32.776566, -79.930923)",104.30834355178328 km
19,1003,447300.0,Charlottesville,"(37.9871831, -78.5074706)","(38.033554, -78.50798)",5.147210024907886 km
20,1010,281900.0,Columbia,"(34.122649, -80.81733)","(34.0007, -81.0348)",24.208280337222007 km
21,1010,322900.0,Columbia,"(34.144558, -80.802329)","(34.0007, -81.0348)",26.741356115236144 km
22,1004,484490.0,Raleigh,"(35.6782, -78.8709)","(35.884766, -78.625053)",31.927463117192413 km
23,1007,444900.0,Atlanta,"(34.139541, -84.249347)","(33.748783, -84.388168)",45.203370135336634 km
24,1010,239900.0,Columbia,"(34.178924, -80.774466)","(34.0007, -81.0348)",31.11353614685348 km
25,1007,417557.5,Atlanta,"(34.1673, -84.4314)","(33.748783, -84.388168)",46.5942491334108 km
26,1006,289240.0,Richmond,"(37.6092, -77.4621)","(37.54129, -77.434769)",7.914464970489038 km
27,1000,475990.0,Northern Virginia,"(38.959184, -77.332334)","(38.8051, -77.047)",30.092703428745136 km
28,1013,287900.0,Aiken/Augusta,"(33.54691, -81.783014)","(33.5076, -81.8604)",8.407525802689742 km
29,1013,306900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
30,1013,241900.0,Aiken/Augusta,"(33.582816, -81.77637)","(33.5076, -81.8604)",11.423813153281548 km
31,1010,234400.0,Columbia,"(34.181446, -80.905019)","(34.0007, -81.0348)",23.354081952891427 km
32,1010,234400.0,Columbia,"(34.205036, -80.737904)","(34.0007, -81.0348)",35.55634784696825 km
33,1006,402240.0,Richmond,"(37.5132, -77.4161)","(37.54129, -77.434769)",3.5274479560127867 km
34,1013,240900.0,Aiken/Augusta,"(33.5237447, -81.8765853)","(33.5076, -81.8604)",2.3382963395454497 km
35,1006,288240.0,Richmond,"(37.6479, -77.4565)","(37.54129, -77.434769)",11.987143272525444 km
