State,zip,PRICE
DC,20001,812526
DC,20002,787511
DC,20003,947111
DC,20004,728216
DC,20005,846988
DC,20007,2138275
DC,20008,1546984
DC,20009,861662
DC,20010,712710
DC,20011,680543
DC,20012,603771
DC,20015,1201780
DC,20016,1313662
DC,20017,613049
DC,20018,678146
DC,20019,425900
DC,20020,424054
DC,20024,592979
DC,20032,396204
DC,20036,565706
DC,20037,1097920
FL,32003,517978
FL,32009,625725
FL,32011,524299
FL,32033,488400
FL,32034,863118
FL,32040,388271
FL,32043,523391
FL,32046,499444
FL,32054,713714
FL,32058,311300
FL,32059,433675
FL,32063,370095
FL,32065,290204
FL,32068,486893
FL,32073,349353
FL,32080,1165788
FL,32081,638811
FL,32082,1952851
FL,32083,361667
FL,32084,554106
FL,32086,486074
FL,32087,158267
FL,32091,316122
FL,32092,440162
FL,32095,539383
FL,32096,268990
FL,32097,418246
FL,32102,323971
FL,32110,506797
FL,32112,325260
FL,32113,1034108
FL,32114,238389
FL,32117,267156
FL,32118,547134
FL,32119,351214
FL,32124,487304
FL,32127,881923
FL,32128,541014
FL,32129,267174
FL,32130,327296
FL,32131,256657
FL,32132,504906
FL,32134,629373
FL,32136,1040952
FL,32137,552288
FL,32139,687600
FL,32140,244950
FL,32141,387274
FL,32145,271653
FL,32148,240316
FL,32159,445587
FL,32162,616997
FL,32163,516867
FL,32164,350472
FL,32168,568423
FL,32169,798968
FL,32174,554890
FL,32176,751213
FL,32177,532920
FL,32179,414767
FL,32180,988829
FL,32181,546843
FL,32187,339950
FL,32189,356230
FL,32190,282500
FL,32193,679950
FL,32195,750104
FL,32202,287712
FL,32204,594206
FL,32205,339687
FL,32206,219037
FL,32207,516858
FL,32208,175825
FL,32209,113192
FL,32210,309981
FL,32211,264240
FL,32216,270861
FL,32217,649423
FL,32218,319063
FL,32219,360428
FL,32220,388573
FL,32221,369853
FL,32222,318624
FL,32223,704710
FL,32224,946053
FL,32225,460368
FL,32226,531797
FL,32233,907242
FL,32234,323720
FL,32244,284081
FL,32246,450748
FL,32250,1165410
FL,32254,181470
FL,32256,439615
FL,32257,363984
FL,32258,442740
FL,32259,624452
FL,32266,1204857
FL,32277,297237
FL,32301,283615
FL,32302,110000
FL,32303,281106
FL,32304,146105
FL,32305,249322
FL,32308,452600
FL,32309,558990
FL,32310,190295
FL,32311,334612
FL,32312,630144
FL,32317,434191
FL,32320,465000
FL,32321,303750
FL,32322,667942
FL,32323,334625
FL,32324,213117
FL,32327,406020
FL,32328,1304450
FL,32331,547000
FL,32333,296076
FL,32334,489500
FL,32336,214700
FL,32340,484095
FL,32343,292500
FL,32344,407374
FL,32346,533922
FL,32347,408390
FL,32348,407100
FL,32350,184900
FL,32351,246009
FL,32352,78000
FL,32358,467833
FL,32359,593900
FL,32433,290396
FL,32435,813195
FL,32439,542615
FL,32455,472250
FL,32459,1817563
FL,32461,2574786
FL,32501,472922
FL,32502,842386
FL,32503,461887
FL,32504,249448
FL,32505,171234
FL,32506,285561
FL,32507,668044
FL,32514,383714
FL,32524,175000
FL,32526,308170
FL,32531,351685
FL,32533,379795
FL,32534,258355
FL,32535,138199
FL,32536,393139
FL,32539,335317
FL,32541,1255143
FL,32547,471789
FL,32548,574975
FL,32550,1015065
FL,32561,1238638
FL,32563,637429
FL,32564,238000
FL,32565,369128
FL,32566,772689
FL,32567,375814
FL,32568,446000
FL,32569,786785
FL,32570,468147
FL,32571,419281
FL,32577,482467
FL,32578,550387
FL,32579,1136084
FL,32580,380834
FL,32583,458275
FL,32601,327714
FL,32603,659500
FL,32605,334456
FL,32606,636294
FL,32607,328904
FL,32608,423888
FL,32609,869320
FL,32615,453386
FL,32617,1082193
FL,32618,449702
FL,32621,287320
FL,32622,274999
FL,32625,591300
FL,32626,346114
FL,32631,317500
FL,32640,536941
FL,32641,147173
FL,32643,317404
FL,32653,479208
FL,32656,336694
FL,32658,649700
FL,32666,327656
FL,32667,607514
FL,32668,1220518
FL,32669,602785
FL,32681,650000
FL,32686,1471315
FL,32693,133450
FL,32694,231633
