ZipCode,State,County,Metro_Area
31701,GA,DOUGHERTY,Albany
31702,GA,DOUGHERTY,Albany
31703,GA,DOUGHERTY,Albany
31704,GA,DOUGHERTY,Albany
31705,GA,DOUGHERTY,Albany
31706,GA,DOUGHERTY,Albany
31707,GA,DOUGHERTY,Albany
31708,GA,DOUGHERTY,Albany
31721,GA,DOUGHERTY,Albany
31763,GA,LEE,Albany
31772,GA,WORTH,Albany
31781,GA,WORTH,Albany
31782,GA,DOUGHERTY,Albany
31787,GA,LEE,Albany
31789,GA,WORTH,Albany
31791,GA,WORTH,Albany
31796,GA,WORTH,Albany
39826,GA,TERRELL,Albany
39842,GA,TERRELL,Albany
39877,GA,TERRELL,Albany
39885,GA,TERRELL,Albany
28001,NC,STANLY,Albemarle
28002,NC,STANLY,Albemarle
28009,NC,STANLY,Albemarle
28097,NC,STANLY,Albemarle
28109,NC,STANLY,Albemarle
28127,NC,STANLY,Albemarle
28128,NC,STANLY,Albemarle
28129,NC,STANLY,Albemarle
28137,NC,STANLY,Albemarle
28163,NC,STANLY,Albemarle
31709,GA,SUMTER,Americus
31711,GA,SUMTER,Americus
31719,GA,SUMTER,Americus
31735,GA,SUMTER,Americus
31743,GA,SUMTER,Americus
31764,GA,SUMTER,Americus
31780,GA,SUMTER,Americus
31806,GA,SCHLEY,Americus
34265,FL,DESOTO,Arcadia
34266,FL,DESOTO,Arcadia
34267,FL,DESOTO,Arcadia
34268,FL,DESOTO,Arcadia
34269,FL,DESOTO,Arcadia
28701,NC,BUNCOMBE,Asheville
28704,NC,BUNCOMBE,Asheville
28709,NC,BUNCOMBE,Asheville
28710,NC,HENDERSON,Asheville
28711,NC,BUNCOMBE,Asheville
28715,NC,BUNCOMBE,Asheville
28716,NC,HAYWOOD,Asheville
28721,NC,HAYWOOD,Asheville
28724,NC,HENDERSON,Asheville
28726,NC,HENDERSON,Asheville
28727,NC,HENDERSON,Asheville
28728,NC,BUNCOMBE,Asheville
28729,NC,HENDERSON,Asheville
28730,NC,BUNCOMBE,Asheville
28731,NC,HENDERSON,Asheville
28732,NC,HENDERSON,Asheville
28735,NC,HENDERSON,Asheville
28738,NC,HAYWOOD,Asheville
28739,NC,HENDERSON,Asheville
28742,NC,HENDERSON,Asheville
28743,NC,MADISON,Asheville
28745,NC,HAYWOOD,Asheville
28748,NC,BUNCOMBE,Asheville
28751,NC,HAYWOOD,Asheville
28753,NC,MADISON,Asheville
28754,NC,MADISON,Asheville
28757,NC,BUNCOMBE,Asheville
28758,NC,HENDERSON,Asheville
28759,NC,HENDERSON,Asheville
28760,NC,HENDERSON,Asheville
28770,NC,BUNCOMBE,Asheville
